epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,1674.3,1.03381,0.4477,1.05312,0.9945,1,0.995,0.697,1.13602,0.39942,1.15183,0.000792325,0.000792325,0.000792325
108,1689.32,1.0671,0.46685,1.06635,0.99196,1,0.995,0.70254,1.16389,0.37842,1.14726,0.000784073,0.000784073,0.000784073
109,1704.52,1.05552,0.46789,1.04795,0.99534,1,0.995,0.68019,1.17607,0.39054,1.16732,0.000775822,0.000775822,0.000775822
110,1719.78,1.01747,0.44366,1.04292,0.99463,1,0.995,0.69168,1.23982,0.40798,1.18593,0.00076757,0.00076757,0.00076757
111,1734.97,1.04905,0.4506,1.06369,0.99469,1,0.995,0.69755,1.2528,0.43539,1.1571,0.000759318,0.000759318,0.000759318
112,1750.38,1.01835,0.45734,1.05242,0.99348,1,0.995,0.65748,1.31005,0.42654,1.21295,0.000751067,0.000751067,0.000751067
113,1766.14,1.03569,0.45027,1.05628,0.99446,1,0.995,0.69153,1.23437,0.40648,1.17617,0.000742815,0.000742815,0.000742815
114,1782.1,1.02566,0.44669,1.03635,0.99388,1,0.995,0.65997,1.27024,0.42903,1.20798,0.000734564,0.000734564,0.000734564
115,1797.51,1.00103,0.4381,1.04597,0.99329,1,0.995,0.69421,1.19802,0.42217,1.17872,0.000726312,0.000726312,0.000726312
116,1812.59,1.02008,0.44012,1.04702,0.99376,1,0.995,0.69274,1.20647,0.4194,1.16886,0.00071806,0.00071806,0.00071806
117,1829.36,1.00628,0.44152,1.04432,0.99349,1,0.995,0.68726,1.28539,0.41188,1.21537,0.000709809,0.000709809,0.000709809
118,1844.42,1.01416,0.44068,1.04293,0.99305,1,0.995,0.68988,1.32155,0.43135,1.2467,0.000701557,0.000701557,0.000701557
119,1859.42,1.0002,0.43633,1.04476,0.9939,1,0.995,0.68736,1.28927,0.4162,1.21955,0.000693305,0.000693305,0.000693305
120,1874.54,0.99768,0.42573,1.04754,0.99516,1,0.995,0.66861,1.27922,0.40803,1.21441,0.000685054,0.000685054,0.000685054
121,1889.69,1.01425,0.45462,1.0461,0.992,1,0.995,0.67968,1.30244,0.4393,1.25056,0.000676802,0.000676802,0.000676802
122,1904.94,0.97251,0.42672,1.0279,0.99425,1,0.995,0.67133,1.29287,0.42283,1.20906,0.00066855,0.00066855,0.00066855
123,1920.11,0.97672,0.43854,1.02108,0.99412,1,0.995,0.66109,1.29965,0.43716,1.23219,0.000660299,0.000660299,0.000660299
124,1935.29,0.99859,0.43914,1.03704,0.99385,1,0.995,0.67814,1.24372,0.44404,1.18118,0.000652047,0.000652047,0.000652047
125,1950.83,1.00488,0.44393,1.04254,0.98807,1,0.995,0.67928,1.31112,0.4323,1.23463,0.000643795,0.000643795,0.000643795
126,1966.71,0.98989,0.436,1.0183,0.9927,1,0.995,0.6757,1.29153,0.43988,1.20697,0.000635544,0.000635544,0.000635544
127,1982.02,0.9555,0.42908,1.02584,0.9945,1,0.995,0.68622,1.25989,0.42922,1.18802,0.000627292,0.000627292,0.000627292
128,1997.15,0.97696,0.43568,1.04476,0.99438,1,0.995,0.67516,1.21356,0.40972,1.17028,0.00061904,0.00061904,0.00061904
129,2012.54,0.95146,0.41881,1.01079,0.99779,1,0.995,0.69534,1.25321,0.4078,1.17236,0.000610789,0.000610789,0.000610789
130,2027.8,0.96936,0.43909,1.03565,0.99616,1,0.995,0.65892,1.33251,0.41822,1.25112,0.000602537,0.000602537,0.000602537
131,2042.98,0.96476,0.43551,1.02457,0.99441,1,0.995,0.67733,1.26091,0.40375,1.21651,0.000594286,0.000594286,0.000594286
132,2058.17,0.95499,0.43258,1.02361,0.99468,1,0.995,0.70871,1.22096,0.40516,1.19464,0.000586034,0.000586034,0.000586034
133,2073.88,0.92724,0.42016,1.0002,0.99304,1,0.995,0.69053,1.24328,0.39701,1.18182,0.000577782,0.000577782,0.000577782
134,2090.3,0.93665,0.42411,1.0182,0.9945,1,0.995,0.67879,1.29198,0.40319,1.22731,0.000569531,0.000569531,0.000569531
135,2105.6,0.94602,0.42818,1.01828,0.99453,1,0.995,0.66389,1.28922,0.40774,1.23682,0.000561279,0.000561279,0.000561279
136,2121.29,0.93534,0.41186,1.01254,0.99543,1,0.995,0.67632,1.22122,0.39517,1.19237,0.000553027,0.000553027,0.000553027
137,2137.25,0.94795,0.42571,1.01676,0.99422,1,0.995,0.66975,1.26109,0.40776,1.21718,0.000544776,0.000544776,0.000544776
138,2152.72,0.91651,0.41436,0.99916,0.99543,1,0.995,0.67878,1.25795,0.39581,1.22149,0.000536524,0.000536524,0.000536524
139,2167.83,0.92018,0.41211,1.00037,0.99438,1,0.995,0.67368,1.23665,0.38773,1.21667,0.000528272,0.000528272,0.000528272
140,2183.07,0.91943,0.41575,0.99334,0.99454,1,0.995,0.6992,1.17779,0.36957,1.14786,0.000520021,0.000520021,0.000520021
141,2198.26,0.90969,0.41938,0.9926,0.99575,1,0.995,0.68597,1.25689,0.39146,1.18313,0.000511769,0.000511769,0.000511769
142,2213.53,0.90347,0.41701,0.98221,0.99435,1,0.995,0.67102,1.25696,0.40219,1.20529,0.000503517,0.000503517,0.000503517
143,2228.74,0.90418,0.40869,1.00541,0.9968,1,0.995,0.69156,1.21794,0.38313,1.18983,0.000495266,0.000495266,0.000495266
144,2244.01,0.89389,0.40458,0.99783,0.994,1,0.995,0.67113,1.26502,0.39308,1.21164,0.000487014,0.000487014,0.000487014
145,2259.44,0.92478,0.41631,1.00271,0.99415,1,0.995,0.67556,1.30293,0.39489,1.22107,0.000478762,0.000478762,0.000478762
146,2274.75,0.91565,0.40983,1.01355,0.99402,1,0.995,0.65777,1.27603,0.39423,1.20695,0.000470511,0.000470511,0.000470511
147,2290.04,0.91394,0.40076,1.00621,0.99721,1,0.995,0.66626,1.25065,0.38215,1.21583,0.000462259,0.000462259,0.000462259
148,2305.67,0.88709,0.40234,0.98369,0.99698,1,0.995,0.66203,1.35738,0.41339,1.28592,0.000454007,0.000454007,0.000454007
149,2321.63,0.87009,0.39886,0.98574,0.99439,1,0.995,0.64011,1.29802,0.39807,1.26396,0.000445756,0.000445756,0.000445756
150,2339.37,0.86139,0.40671,0.98569,0.99681,1,0.995,0.65027,1.37211,0.41207,1.28979,0.000437504,0.000437504,0.000437504
151,2354.53,0.88134,0.40231,0.99166,0.99373,1,0.995,0.64396,1.36473,0.42169,1.2844,0.000429253,0.000429253,0.000429253
152,2369.73,0.90299,0.41012,0.99258,0.99501,1,0.995,0.6567,1.34461,0.41984,1.2676,0.000421001,0.000421001,0.000421001
153,2385.09,0.8949,0.40401,1.00027,0.99769,1,0.995,0.64714,1.38368,0.42794,1.28736,0.000412749,0.000412749,0.000412749
154,2400.35,0.8829,0.4046,0.98924,0.9943,1,0.995,0.6381,1.3557,0.42094,1.28296,0.000404498,0.000404498,0.000404498
155,2415.63,0.86962,0.3862,0.9809,0.99425,1,0.995,0.65776,1.37199,0.4178,1.2775,0.000396246,0.000396246,0.000396246
156,2430.93,0.87114,0.40056,0.98251,0.99422,1,0.995,0.65088,1.32727,0.40393,1.25928,0.000387994,0.000387994,0.000387994
157,2446.31,0.86016,0.40786,0.98151,0.99491,1,0.995,0.64579,1.337,0.41534,1.28013,0.000379743,0.000379743,0.000379743
158,2461.64,0.86536,0.39522,0.98556,0.99512,1,0.995,0.66106,1.31592,0.41108,1.28686,0.000371491,0.000371491,0.000371491
159,2477.3,0.86075,0.39103,0.97179,0.99369,1,0.995,0.65514,1.31112,0.40422,1.27581,0.000363239,0.000363239,0.000363239
160,2493.46,0.85105,0.39114,0.97462,0.99445,1,0.995,0.66882,1.26753,0.39541,1.23328,0.000354988,0.000354988,0.000354988
161,2509.75,0.85321,0.39229,0.98607,0.9945,1,0.995,0.64168,1.33618,0.42183,1.27386,0.000346736,0.000346736,0.000346736
162,2526.1,0.84623,0.39272,0.98484,0.99457,1,0.995,0.67786,1.24117,0.39386,1.21667,0.000338484,0.000338484,0.000338484
163,2542.07,0.8291,0.38239,0.96326,0.99489,1,0.995,0.65439,1.32783,0.40254,1.25918,0.000330233,0.000330233,0.000330233
164,2557.66,0.82471,0.37851,0.9644,0.9945,1,0.995,0.67001,1.30942,0.40615,1.26846,0.000321981,0.000321981,0.000321981
165,2573.19,0.82446,0.38744,0.97123,0.99444,1,0.995,0.65106,1.32339,0.41065,1.2733,0.000313729,0.000313729,0.000313729
166,2588.9,0.83161,0.38169,0.96751,0.99483,1,0.995,0.66777,1.32454,0.40696,1.27187,0.000305478,0.000305478,0.000305478
167,2606.07,0.8214,0.3857,0.97424,0.9976,1,0.995,0.6411,1.41212,0.42955,1.3165,0.000297226,0.000297226,0.000297226
168,2621.66,0.84793,0.3902,0.9657,0.99457,1,0.995,0.64624,1.33567,0.41095,1.30095,0.000288974,0.000288974,0.000288974
169,2637.33,0.82375,0.37933,0.9642,0.99467,1,0.995,0.6349,1.31734,0.41599,1.30747,0.000280723,0.000280723,0.000280723
170,2653.27,0.80784,0.37364,0.96444,0.99436,1,0.995,0.66396,1.33403,0.41517,1.29057,0.000272471,0.000272471,0.000272471
171,2669.41,0.81267,0.3776,0.95271,0.99454,1,0.995,0.66883,1.31472,0.40625,1.28922,0.00026422,0.00026422,0.00026422
172,2685.53,0.80029,0.38057,0.95123,0.99473,1,0.995,0.666,1.31352,0.40759,1.28147,0.000255968,0.000255968,0.000255968
173,2701.24,0.799,0.37759,0.95003,0.9942,1,0.995,0.66213,1.29769,0.39157,1.2741,0.000247716,0.000247716,0.000247716
